model,x,y,n,pearson_r,spearman_r
all,cosine_pre,clipscore_drop,8000,0.038680,-0.009346
all,mse_pre,clipscore_drop,8000,-0.001108,0.042718
all,cosine_pre,bertscore_recon_vs_post_f1,8000,-0.201101,0.013991
all,mse_pre,bertscore_recon_vs_post_f1,8000,0.122877,-0.099640
llava,cosine_pre,clipscore_drop,2000,0.014724,0.033748
llava,mse_pre,clipscore_drop,2000,-0.008482,-0.042374
llava,cosine_pre,bertscore_recon_vs_post_f1,2000,0.031958,0.011985
llava,mse_pre,bertscore_recon_vs_post_f1,2000,-0.048041,-0.025773
idefics2,cosine_pre,clipscore_drop,2000,-0.039451,0.003421
idefics2,mse_pre,clipscore_drop,2000,0.042983,0.005941
idefics2,cosine_pre,bertscore_recon_vs_post_f1,2000,0.253752,0.270942
idefics2,mse_pre,bertscore_recon_vs_post_f1,2000,-0.255599,-0.258717
qwen2.5vl,cosine_pre,clipscore_drop,2000,-0.001970,-0.019536
qwen2.5vl,mse_pre,clipscore_drop,2000,0.067332,0.056683
qwen2.5vl,cosine_pre,bertscore_recon_vs_post_f1,2000,-0.000750,-0.017563
qwen2.5vl,mse_pre,bertscore_recon_vs_post_f1,2000,-0.085744,-0.080428
qwen3.5,cosine_pre,clipscore_drop,2000,0.054585,0.029218
qwen3.5,mse_pre,clipscore_drop,2000,0.235179,0.259067
qwen3.5,cosine_pre,bertscore_recon_vs_post_f1,2000,-0.021108,-0.011831
qwen3.5,mse_pre,bertscore_recon_vs_post_f1,2000,-0.306470,-0.241398
